AGE,WORKCLASS,EDUCATION,EDUCATIONNUM,MARITALSTATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,HOURSPERWEEK,ABOVE50K,INCOME
39, State-gov, Bachelors,13,Not Married, Adm-clerical, Not-in-family,White,Male,40,0,30681
50, Self-emp-not-inc, Bachelors,13,Married, Exec-managerial, Husband,White,Male,13,0,30720
38, Private, HS-grad,9,Not Married, Handlers-cleaners, Not-in-family,White,Male,40,0,40264
53, Private, 11th,7,Married, Handlers-cleaners, Husband, Black,Male,40,0,34737
28, Private, Bachelors,13,Married, Prof-specialty, Wife, Black,Female,40,0,34217
37, Private, Masters,14,Married, Exec-managerial, Wife,White,Female,40,0,33246
49, Private, 9th,5,Married, Other-service, Not-in-family, Black,Female,16,0,31599
52, Self-emp-not-inc, HS-grad,9,Married, Exec-managerial, Husband,White,Male,45,1,50863
31, Private, Masters,14,Not Married, Prof-specialty, Not-in-family,White,Female,50,1,65654
42, Private, Bachelors,13,Married, Exec-managerial, Husband,White,Male,40,1,68682
37, Private, Some-college,10,Married, Exec-managerial, Husband, Black,Male,80,1,52388
30, State-gov, Bachelors,13,Married, Prof-specialty, Husband, Asian-Pac-Islander,Male,40,1,78047
23, Private, Bachelors,13,Not Married, Adm-clerical, Own-child,White,Female,30,0,39818
32, Private, Assoc-acdm,12,Not Married, Sales, Not-in-family, Black,Male,50,0,40539
40, Private, Assoc-voc,11,Married, Craft-repair, Husband, Asian-Pac-Islander,Male,40,1,59168
34, Private, 7th-8th,4,Married, Transport-moving, Husband, Amer-Indian-Eskimo,Male,45,0,37495
25, Self-emp-not-inc, HS-grad,9,Not Married, Farming-fishing, Own-child,White,Male,35,0,30601
32, Private, HS-grad,9,Not Married, Machine-op-inspct, Unmarried,White,Male,40,0,30698
38, Private, 11th,7,Married, Sales, Husband,White,Male,50,0,30624
43, Self-emp-not-inc, Masters,14,Not Married, Exec-managerial, Unmarried,White,Female,45,1,50131
40, Private, Doctorate,16,Married, Prof-specialty, Husband,White,Male,60,1,113116
54, Private, HS-grad,9,Not Married, Other-service, Unmarried, Black,Female,20,0,30585
35, Federal-gov, 9th,5,Married, Farming-fishing, Husband, Black,Male,40,0,30588
43, Private, 11th,7,Married, Transport-moving, Husband,White,Male,40,0,30729
59, Private, HS-grad,9,Not Married, Tech-support, Unmarried,White,Female,40,0,38289
56, Local-gov, Bachelors,13,Married, Tech-support, Husband,White,Male,40,1,83694
19, Private, HS-grad,9,Not Married, Craft-repair, Own-child,White,Male,40,0,37225
54, ?, Some-college,10,Married, ?, Husband, Asian-Pac-Islander,Male,60,1,104531
39, Private, HS-grad,9,Not Married, Exec-managerial, Not-in-family,White,Male,80,0,43920
49, Private, HS-grad,9,Married, Craft-repair, Husband,White,Male,40,0,33732
23, Local-gov, Assoc-acdm,12,Not Married, Protective-serv, Not-in-family,White,Male,52,0,30592
20, Private, Some-college,10,Not Married, Sales, Own-child, Black,Male,44,0,30617
45, Private, Bachelors,13,Not Married, Exec-managerial, Own-child,White,Male,40,0,30629
30, Federal-gov, Some-college,10,Married, Adm-clerical, Own-child,White,Male,40,0,30721
22, State-gov, Some-college,10,Married, Other-service, Husband, Black,Male,15,0,38219
48, Private, 11th,7,Not Married, Machine-op-inspct, Unmarried,White,Male,40,0,30625
21, Private, Some-college,10,Not Married, Machine-op-inspct, Own-child,White,Male,40,0,30568
19, Private, HS-grad,9,Married, Adm-clerical, Wife,White,Female,25,0,30564
31, Private, Some-college,10,Married, Sales, Husband,White,Male,38,1,110932
48, Self-emp-not-inc, Assoc-acdm,12,Married, Prof-specialty, Husband,White,Male,40,0,30553
31, Private, 9th,5,Married, Machine-op-inspct, Husband,White,Male,43,0,43030
53, Self-emp-not-inc, Bachelors,13,Married, Prof-specialty, Husband,White,Male,40,0,30579
24, Private, Bachelors,13,Married, Tech-support, Husband,White,Male,50,0,30656
49, Private, HS-grad,9,Not Married, Adm-clerical, Unmarried,White,Female,40,0,30581
25, Private, HS-grad,9,Not Married, Handlers-cleaners, Not-in-family,White,Male,35,0,30705
57, Federal-gov, Bachelors,13,Married, Prof-specialty, Husband, Black,Male,40,1,67469
53, Private, HS-grad,9,Married, Machine-op-inspct, Husband,White,Male,38,0,30578
44, Private, Masters,14,Not Married, Exec-managerial, Unmarried,White,Female,40,0,30605
41, State-gov, Assoc-voc,11,Married, Craft-repair, Husband,White,Male,40,0,30580
29, Private, Assoc-voc,11,Not Married, Prof-specialty, Not-in-family,White,Male,43,0,30725
25, Private, Some-college,10,Married, Exec-managerial, Wife, Other,Female,40,0,33024
18, Private, HS-grad,9,Not Married, Other-service, Own-child,White,Female,30,0,30719
47, Private, Prof-school,15,Married, Prof-specialty, Wife,White,Female,60,1,59712
50, Federal-gov, Bachelors,13,Not Married, Exec-managerial, Not-in-family,White,Male,55,1,91526
47, Self-emp-inc, HS-grad,9,Not Married, Exec-managerial, Not-in-family,White,Male,60,0,30574
43, Private, Some-college,10,Married, Tech-support, Husband,White,Male,40,1,74374
46, Private, 5th-6th,3,Married, Machine-op-inspct, Husband,White,Male,40,0,30572
35, Private, Assoc-voc,11,Married, Other-service, Husband,White,Male,40,0,30551
41, Private, HS-grad,9,Married, Adm-clerical, Husband,White,Male,48,0,40277
30, Private, HS-grad,9,Married, Machine-op-inspct, Husband,White,Male,40,0,30721
30, Private, Bachelors,13,Married, Sales, Husband,White,Male,40,0,30565
32, ?, 7th-8th,4,Married, ?, Not-in-family,White,Male,40,0,42808
48, Private, HS-grad,9,Married, Transport-moving, Husband,White,Male,40,0,30560
42, Private, Doctorate,16,Married, Prof-specialty, Husband,White,Male,45,1,62430
29, Private, Some-college,10,Not Married, Tech-support, Not-in-family,White,Male,58,0,44070
36, Private, HS-grad,9,Married, Craft-repair, Husband,White,Male,40,0,30555
28, Private, Some-college,10,Not Married, Adm-clerical, Not-in-family,White,Female,40,0,30664
53, Private, HS-grad,9,Married, Adm-clerical, Wife,White,Female,40,1,58476
49, Self-emp-inc, Some-college,10,Married, Exec-managerial, Husband,White,Male,50,1,125488
25, ?, Some-college,10,Not Married, ?, Own-child,White,Male,40,0,41677
19, Private, Some-college,10,Not Married, Prof-specialty, Own-child,White,Male,32,0,30679
31, Private, Bachelors,13,Not Married, Sales, Own-child, Black,Female,40,0,30594
29, Self-emp-not-inc, Bachelors,13,Married, Sales, Husband,White,Male,70,1,50591
23, Private, Some-college,10,Not Married, Machine-op-inspct, Not-in-family,White,Male,40,0,40019
79, Private, Some-college,10,Married, Prof-specialty, Other-relative,White,Male,20,0,36323
27, Private, HS-grad,9,Not Married, Other-service, Own-child,White,Male,40,0,30728
40, Private, Assoc-acdm,12,Married, Adm-clerical, Husband,White,Male,40,0,30573
67, ?, 10th,6,Married, ?, Husband,White,Male,2,0,30739
18, Private, 11th,7,Not Married, Other-service, Own-child,White,Female,22,0,30554
31, Local-gov, 7th-8th,4,Married, Farming-fishing, Husband,White,Male,40,0,30637
18, Private, HS-grad,9,Not Married, Sales, Not-in-family,White,Male,30,0,30690
52, Private, Bachelors,13,Married, Other-service, Husband,White,Male,40,0,30598
46, Private, HS-grad,9,Married, Other-service, Wife,White,Female,40,0,30558
59, Private, HS-grad,9,Married, Sales, Husband,White,Male,48,0,30550
44, Private, HS-grad,9,Not Married, Craft-repair, Not-in-family,White,Female,40,1,108546
53, Private, HS-grad,9,Not Married, Sales, Own-child,White,Female,35,0,30697
49, Local-gov, HS-grad,9,Married, Protective-serv, Husband,White,Male,40,1,93044
33, Private, Masters,14,Married, Prof-specialty, Husband,White,Male,50,0,40631
30, Private, 9th,5,Not Married, Sales, Not-in-family,White,Male,40,0,34688
43, Federal-gov, Doctorate,16,Not Married, Prof-specialty, Not-in-family,White,Female,50,1,70616
57, Private, Assoc-voc,11,Married, Prof-specialty, Husband,White,Male,40,0,30626
37, Private, Some-college,10,Not Married, Craft-repair, Unmarried,White,Female,40,0,30641
28, Private, Some-college,10,Not Married, Machine-op-inspct, Unmarried, Black,Female,25,0,30640
30, Private, HS-grad,9,Married, Sales, Wife, Asian-Pac-Islander,Female,35,0,34638
34, Local-gov, Bachelors,13,Married, Protective-serv, Husband,White,Male,40,1,52032
29, Local-gov, Some-college,10,Not Married, Handlers-cleaners, Not-in-family,White,Male,50,0,30624
48, Self-emp-not-inc, Doctorate,16,Married, Prof-specialty, Husband,White,Male,60,1,60748
37, Private, Some-college,10,Married, Sales, Husband,White,Male,48,1,54285
48, Private, Assoc-acdm,12,Not Married, Exec-managerial, Unmarried,White,Female,40,0,30557
32, Federal-gov, HS-grad,9,Not Married, Other-service, Own-child, Black,Male,40,0,30556
76, Private, Masters,14,Married, Exec-managerial, Husband,White,Male,40,1,60492
44, Private, Bachelors,13,Married, Exec-managerial, Husband,White,Male,60,1,65091
47, Self-emp-not-inc, Masters,14,Not Married, Prof-specialty, Not-in-family,White,Female,50,0,30577
20, Private, Some-college,10,Not Married, Tech-support, Own-child,White,Female,40,0,30651
29, Private, HS-grad,9,Not Married, Craft-repair, Not-in-family,White,Male,40,0,34195
32, Self-emp-inc, HS-grad,9,Married, Craft-repair, Husband,White,Male,40,1,50609
17, ?, 10th,6,Not Married, ?, Own-child,White,Female,32,0,30688
30, Private, 11th,7,Not Married, Handlers-cleaners, Own-child,White,Male,40,0,30625
31, Local-gov, HS-grad,9,Not Married, Adm-clerical, Not-in-family,White,Female,40,0,30616
42, Private, HS-grad,9,Married, Handlers-cleaners, Husband,White,Male,40,0,30699
24, Private, Bachelors,13,Not Married, Sales, Other-relative,White,Male,40,0,36730
38, Private, Prof-school,15,Married, Prof-specialty, Husband,White,Male,40,1,62737
56, Self-emp-not-inc, HS-grad,9,Married, Other-service, Husband,White,Male,50,1,102279
28, Private, Some-college,10,Married, Sales, Wife,White,Female,25,0,30674
36, Private, HS-grad,9,Not Married, Machine-op-inspct, Own-child,White,Female,40,0,30690
53, Private, 9th,5,Married, Handlers-cleaners, Husband,White,Male,50,0,30717
56, Self-emp-inc, Some-college,10,Married, Sales, Husband,White,Male,50,0,30743
49, Local-gov, Assoc-voc,11,Married, Craft-repair, Husband, Black,Male,40,1,92807
55, Private, Some-college,10,Married, Sales, Husband,White,Male,56,0,37018
22, Private, HS-grad,9,Not Married, Craft-repair, Not-in-family,White,Male,41,0,30583
21, Private, Some-college,10,Not Married, Other-service, Own-child,White,Female,40,0,39092
40, Private, Bachelors,13,Married, Exec-managerial, Husband,White,Male,60,0,30601
30, Private, Bachelors,13,Not Married, Exec-managerial, Own-child, Black,Male,40,0,40321
29, State-gov, Bachelors,13,Married, Prof-specialty, Husband,White,Male,50,1,71580
19, Private, Some-college,10,Not Married, Other-service, Own-child, Black,Male,35,0,38253
47, Private, Bachelors,13,Married, Exec-managerial, Wife,White,Female,40,1,131181
20, Private, Some-college,10,Not Married, Adm-clerical, Own-child,White,Female,28,0,30637
31, Private, Assoc-acdm,12,Married, Adm-clerical, Husband,White,Male,40,1,127490
35, ?, HS-grad,9,Married, ?, Husband,White,Male,40,0,30683
39, Private, Some-college,10,Not Married, Craft-repair, Not-in-family,White,Male,40,0,30562
28, Private, Assoc-acdm,12,Not Married, Sales, Not-in-family,White,Female,60,0,42106
24, Private, HS-grad,9,Not Married, Other-service, Not-in-family,White,Female,40,0,30593
